見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
「新型コロナウイルス感染症」について,健康相談専用ダイヤル,,健康に不安がある方は、ご相談ください。土日祝日も含め、24時間対応しています。県内各保健所でも対応しています。電話でのご相談が難しい方は、ファックスをご利用ください。,,,,,,,健康相談専用ダイヤル 電話073-441-2170　ファックス073-431-1800県庁健康推進課,,,,,,,,
「新型コロナウイルス感染症」について,融資・貸付のご案内,【事業者向け】,新型コロナウイルス感染症の影響を受けている事業者を対象に、融資制度が拡充されています。,,,,,,,日本政策金融公庫 和歌山支店 電話073-431-9301（中小企業の方） 電話073-422-3151（個人企業の方） 日本政策金融公庫 田辺支店 電話0739-22-6120 ,,,,,,,,
「新型コロナウイルス感染症」について,融資・貸付のご案内,【個人向け】,新型コロナウイルス感染症の影響を受け、休業や失業などにより生活資金でお悩みの方を対象に、貸付を行っています。（無利子・保証人不要）,,,,,,,お住まいの市町村社会福祉協議会,,,,,,,,
大学生等進学給付金,令和3年度入学予定の給付希望者を募集,,,,,保護者（親権者）の市町村民税所得割が非課税、県内へのUターン志望者であるなど※詳しくは要問合せ,40人（選考）,給付金額：60万円／年（4年間総額240万円）,所定の申込書（申込先で配布）を5月29日までに在学校,県教育庁生涯学習課県ウェブサイトでも掲載,,,,,,,,
和歌山県花いっぱいコンクール,花壇や作業の様子がわかる写真（令和元年8月～令和2年7月に撮影4?6枚程度）,部門：学校、職場・地域、家庭の部,,,,,,,,,郵送で所定の申込書（申込先、振興局総務県民課、県NPOサポートセンター、ウェブサイトで配布）にA4版1冊にまとめた写真を添付して7月31日までに県庁県民生活課県ウェブサイトでも掲載,,,,,,,
和歌浦漁港朝市（おっとっと広場）,鮮魚販売、わかしらす直売、マグロの解体即売、フリーマーケット、露店、もちまきなど,,,5月16日（土）10:00?14:00,和歌浦漁港内（和歌山市）,,,,,ベイサイド和歌浦電話073-446-3308,,,,,,,,
わかやまスマート農業セミナー,スマート農業関連企業によるICTやロボット技術、導入事例などの紹介,,,5月27日（水）12:00?16:20,県民文化会館（和歌山市）,,,,,,ファックス、インターネットで所定の申込書（申込先、ウェブサイトで配布）を5月26日までに県庁農林水産総務課研究推進室ファックス073-433-3024県ウェブサイトでも掲載,,,,,,,
点字即時情報ネットワーク（JBニュース）,新聞や福祉関係情報を点字、Eメール、電話で発信するサービス,,,,,,,"3,600円（年間購読料、点字版のみ）",,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号、Eメールアドレスを県点字図書館〒640-8319和歌山市手平2-1-2和歌山ビッグ愛5階電話073-488-5721　ファックス073-488-5731Eメール　wakaten@wakaten.jp和歌山県点字図書館のぺージへリンク ,,,,,,,
観光ゼミナール,(1)ハーバリウム作り体験,,,7月4日（土）9:00?11:00,御坊市役所,小学4年～中学3年生,30人（抽選）,500円（材料費、保険料）,,,ファックス、Eメール、インターネットで所定の申込書（申込先、ウェブサイトで配布）を6月22日までに日高広域観光振興協議会（日高振興局企画産業課内） 電話0738-24-2911　ファックス0738-24-3312 Eメール　e1305161@pref.wakayama.lg.jp紀中を巡るのぺージへリンク※着替え、濡れてもよい服装※保護者同伴なしでも可 ,,,,,,,
観光ゼミナール,(2)アマゴ釣り＆つかみ取り体験,,,7月26日（日）[1]9:00?11:30[2]12:30?15:00,日高川交流センター（日高川町）,小学4年～中学3年生,各10人（抽選）,500円（材料費、保険料）,,,ファックス、Eメール、インターネットで所定の申込書（申込先、ウェブサイトで配布）を7月13日までに日高広域観光振興協議会（日高振興局企画産業課内） 電話0738-24-2911　ファックス0738-24-3312 Eメール　e1305161@pref.wakayama.lg.jp紀中を巡るのぺージへリンク※着替え、濡れてもよい服装※保護者同伴なしでも可 ,,,,,,,
観光ゼミナール,(3)スノーケリング体験,,,7月28日（火）[1]8:00?12:00[2]12:00?16:00,白崎海洋公園（由良町）,小学5年～中学3年生,各20人（抽選）,500円（材料費、保険料）,,,ファックス、Eメール、インターネットで所定の申込書（申込先、ウェブサイトで配布）を(2)(3)7月13日までに日高広域観光振興協議会（日高振興局企画産業課内） 電話0738-24-2911　ファックス0738-24-3312 Eメール　e1305161@pref.wakayama.lg.jp紀中を巡るのぺージへリンク※着替え、濡れてもよい服装※保護者同伴なしでも可 ,,,,,,,
物品の購入等に係る競争入札参加資格申請,県が発注する物品の購入等の入札に参加するために必要な資格審査申請を受付,,,,,,,,郵送、持参で所定の申込書（申込先、ウェブサイトで配布）を5月31日（当日消印有効）までの平日9:30?17:30に県庁総務事務集中課、振興局総務県民課（海草除く）、東牟婁振興局地域振興部串本地区駐在、県警察本部会計課,県庁総務事務集中課※詳しくはウェブサイトを要確認県ウェブサイトでも掲載 ,,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(1)介護・パソコン科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(2)パソコン・総務経理事務科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(3)電気設備技術科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(4)住環境計画科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(5)ECデザイン・ネットショップ運営実務科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(6)介護職員初任者養成科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(7)OAパソコン基礎科,,,海南市・御坊市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(8)パソコン活用科,,,有田市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(9)OA事務初級科（障害者対象）,,,御坊市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(10)パソコン・建設技能習得科,,,田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(11)介護実習科（障害者対象）,,,田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(12)パソコン基礎科,,,田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
6・7月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(13)OA事務・Web科,,,岩出市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局　職業訓練のぺージへリンク,,,,,,,
視覚障害者支援ネットワークきのくにアイねっと設立記念講演会,iPS細胞による再生医療の今と未来,,講師：前田忠郎氏（眼科医）,5月30日（土）14:30?16:00※視覚障害者支援機器展示会同時開催 13:00?16:30,*県JAビル（和歌山市）,,180人（先着順）,,,きのくにアイねっと事務局（県立和歌山盲学校内）電話073-461-0322,,,,,,,,
男女共同参画週間特別公開セミナー,講演「自分らしく生きよう-社会を変えるのは、私たち-」,,講師：上野千鶴子氏（東京大学名誉教授,6月18日（木）19:00?20:30,和歌山ビッグ愛（和歌山市）,,150人（先着順）,,,,郵送、電話、ファックス、Eメール、インターネット、来所で住所、氏名、電話番号を（一時保育・手話通訳・要約筆記希望者は6月4日までに）県男女共同参画センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛9階電話073-435-5245　ファックス073-435-5247Eメール　libre@sirius.ocn.ne.jp県ウェブサイトでも掲載 ,,,,,,,
はじめての男女共同参画エキスパンダー養成講座（実践編）,扉の向こうへ！～ネットワークを活（い）かした新しい地域づくり～（人材育成）,,,6月14・28日、7月12・19日 いずれも日曜10:30?15:30,有田振興局（湯浅町）,,30人 （先着順）,,,,郵送、電話、ファックス、Eメール、インターネット、来所で住所、氏名、電話番号を（一時保育希望者は6月4日までに）県男女共同参画センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛9階電話073-435-5245　ファックス073-435-5247Eメール　libre@sirius.ocn.ne.jp県ウェブサイトでも掲載 ,,,,,,,
地域講演会「考える、土砂災害」,土砂災害に関する最新の話題提供や調査研究報告、事例紹介など,,,6月6日（土）14:30?16:15,情報交流センターBig・U（田辺市）,,,,,県土砂災害啓発センター電話0735-29-7531※手話通訳・要約筆記あり県ウェブサイトでも掲載,,,,,,,,
要約筆記者養成講座（パソコンコース）,要約筆記を行うための知識・技術を習得,,,6月7日?12月13日の日曜 全21回,和歌山市ふれ愛センター,要約筆記の学習が初めてでインターネット環境のある方,12人（抽選）,"3,670円（テキスト代）",,,郵送、電話、ファックス、Eメールで所定の申込書（申込先、ウェブサイトで配布）を5月20日までに県聴覚障害者情報センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛6階電話073-421-6311　ファックス073-421-6411Eメール　w-mikan@nifty.com和歌山県聴覚障害者情報センターのぺージへリンク,,,,,,,
盲ろう者向け通訳・介助員養成研修会,,,,7月5日?12月13日の日曜 全12回,田辺市民総合センター,受講後、通訳・介助員として活動できる県内在住・在勤の18歳以上の方,20人（先着順）,"3,000円（教材費）",,,郵送、ファックスで所定の申込書（申込先で配布）を6月26日までに和歌山盲ろう者友の会〒640-8331和歌山市美園5-5-1電話（ファックス）073-498-7756※手話通訳・要約筆記は要予約,,,,,,,
HACCP義務化対応講習会,HACCPの考え方を取り入れた衛生管理の講習会,,,令和3年3月まで随時開催 10:00?12:00または14:00?16:00,各保健所管内,飲食店・喫茶店・食品移動販売車・露店営業者または従業員,,"4,000円（協会員3,000円）",会場地を管轄する保健所内の食品衛生協会電話073-433-5004※詳しくはウェブサイトを要確認,和歌山県食品衛生協会電話073-433-5004和歌山県食品衛生協会のぺージへリンク ,,,,,,,,
紀の川河川愛護モニター,7月1日から1年間、河川の状況を月1回程度報告する方を募集,,,,,20歳以上で紀の川からおおむね5キロメートル以内に在住するマイナンバー登録済の方,若干名（選考）,"謝礼：月額4,580円（予定）",,,Eメールで住所、氏名、年齢（生年月日）、電話番号、職業、希望する活動範囲、応募理由、モニターになった場合の活動内容、過去のモニター経験についてを6月1日までに和歌山河川国道事務所電話073-402-0267Eメール　kkr-kq-kakan02@mlit.go.jp和歌山河川国道事務所のぺージへリンク ,,,,,,,
アビリンピック和歌山2020,障害者の職業能力向上と雇用促進をめざした技能競技大会（ネイル施術、表計算、喫茶サービスなど8種目）,,,6月6日（土）10:00?16:00,ポリテクセンター和歌山（和歌山市）,4月1日現在、15歳以上で県内在住・在勤・在学の身体・知的・精神障害者,競技ごとに設定,,,,郵送、ファックスで所定の申込書（ウェブサイトで配布）を5月11日までに高齢・障害・求職者雇用支援機構和歌山支部〒640-8483和歌山市園部1276電話073-462-6900　ファックス073-462-6810アビリンピック和歌山のぺージへリンク※手話通訳は要予約 ,,,,,,,
鞆渕がんこ農家の黒豆収穫体験,鞆渕ブランド黒豆の収穫体験,,,(1)10月10日(2)12月5日(3)令和3年1月16日 いずれも土曜,JA紀の里鞆渕選果場（紀の川市）,,100区画（先着順）,"5,000円（黒豆）2,000円（ほうれんそう）／区画",,,電話、ファックス、Eメールで所定の申込書（申込先、ウェブサイトで配布）を5月22日までにJA紀の里営農センター電話0736-77-0810　ファックス0736-77-0377Eメール　einou@kinosato.jawink.ne.jpJA紀の里　体験農業のぺージへリンク ,,,,,,,
空き家なんでも相談会～実家の相続・処分・管理の備え～,,,,(1)5月12日（火）,東牟婁振興局（新宮市）,,,,,,電話、持参で所定の申込書（申込先、ウェブサイト、市町村で配布）各会場建設部（ファックスの場合は県庁建築住宅課へ ファックス073-428-2038）家のイラスト 県ウェブサイトでも掲載,,,,,,,
空き家なんでも相談会～実家の相続・処分・管理の備え～,,,,(2)5月13日（水）13:30?16:00,那賀振興局（岩出市）,,,,,,電話、持参で所定の申込書（申込先、ウェブサイト、市町村で配布）各会場建設部（ファックスの場合は県庁建築住宅課へ ファックス073-428-2038）家のイラスト 県ウェブサイトでも掲載,,,,,,,
空き家なんでも相談会～実家の相続・処分・管理の備え～,,,,(3)5月17日（日）13:30?16:00,情報交流センターBig・U（田辺市）,,,,,,電話、持参で所定の申込書（申込先、ウェブサイト、市町村で配布）西牟婁振興局建設部（ファックスの場合は県庁建築住宅課へ ファックス073-428-2038）家のイラスト 県ウェブサイトでも掲載,,,,,,,
空き家なんでも相談会～実家の相続・処分・管理の備え～,,,,(4)5月20日（水）13:30?16:00,日高振興局（御坊市）,,,,,,電話、持参で所定の申込書（申込先、ウェブサイト、市町村で配布）各会場建設部（ファックスの場合は県庁建築住宅課へ ファックス073-428-2038）家のイラスト 県ウェブサイトでも掲載,,,,,,,
空き家なんでも相談会～実家の相続・処分・管理の備え～,,,,(5)5月22日（金）13:30?16:00,伊都振興局（橋本市）,,,,,,電話、持参で所定の申込書（申込先、ウェブサイト、市町村で配布）各会場建設部（ファックスの場合は県庁建築住宅課へ ファックス073-428-2038）家のイラスト 県ウェブサイトでも掲載,,,,,,,
